isocode,date,totalvaccinations,peoplevaccinated,peoplefullyvaccinated,totalboosters,dailyvaccinationsraw,dailyvaccinations,totalvaccinationsperhundred,peoplevaccinatedperhundred,peoplefullyvaccinatedperhundred,totalboostersperhundred,dailyvaccinationspermillion,dailypeoplevaccinated,dailypeoplevaccinatedperhundred
and,2021,44010.166666666664,29327.032258064515,23858.84,8649.5,2401,349.11176470588236,55.12027777777778,36.73064516129032,29.882,10.83,4372.435294117647,166.9205882352941,0.20913529411764706
and,2022,150906.36363636365,57848.59090909091,53387.181818181816,41057.055555555555,10435,102.1945205479452,189.00454545454545,72.45272727272727,66.86545454545454,51.42166666666667,1279.9369863013699,2.0383561643835617,0.0025205479452054796
and,2023,156992.33333333334,57909,53497,43064.166666666664,10435,2.49438202247191,196.625,72.52666666666667,67.005,53.935,31.239700374531836,0,0
are,2021,13336418.92926045,8702684.974576272,7856578.135338346,2649245.7526881723,67073.0777385159,60562.28333333333,141.25845659163988,92.17855932203389,83.21669172932332,28.060645161290324,6414.716666666666,25992.67042253521,0.27534366197183097
are,2022,23750458.484375,9908609.272727273,9394156.578947369,4362559.054545455,24091.270833333332,14062.947368421053,251.56312499999999,104.95454545454545,99.50263157894737,46.20763636363636,1489.5438596491229,627.485380116959,0.006766081871345029
arg,2020,34831.666666666664,34825.333333333336,5.333333333333333,1,11454,15778,0.08,0.08,0,0,347,15774.5,0.0345
arg,2021,29470173.287671234,18176335.96712329,9982029.701369863,438515.8,214417.1890410959,211818.57260273973,64.75501369863014,39.93882191780822,21.933780821917807,0.9631506849315068,4654.2986301369865,105917.39178082191,0.23274794520547945
arg,2022,103016265.00547945,41058742.5890411,34260798.32328767,25002540.315068495,94880.55068493151,97043.65479452055,226.35797260273972,90.21849315068494,75.28145205479451,54.938,2132.358904109589,7533.402739726027,0.01650958904109589
arg,2023,115755238.0410959,41499249.83561644,34881879.13150685,36543840.84931507,10358.287671232876,10858.202739726028,254.3495890410959,91.18646575342466,76.64682191780823,80.29753424657534,238.58904109589042,265.17808219178085,3.863013698630137e-4
arg,2024,116807658.44444445,41525543.03703704,34900613,37546487.59259259,9654.37037037037,7933.851851851852,256.6625925925926,91.2437037037037,76.69,82.50074074074074,174.33333333333334,171.8148148148148,3.7037037037037035e-4
arm,2021,488982.3333333333,325092.125,218357.07692307694,628,10435,5947.610909090909,17.586060606060606,11.691875,7.851923076923077,0.02,2139.0581818181818,3407,0.12248363636363636
arm,2022,1969614.4666666666,1037110.3,886229,21325.30769230769,10435,1416.876712328767,70.83733333333333,37.3,31.872,0.7669230769230769,509.57260273972605,503.2,0.017934246575342466
arm,2023,2173963,1128168.2,1000615.8333333334,50832.5,10435,344.1459854014599,78.18833333333333,40.574,35.98833333333333,1.8266666666666667,123.78102189781022,101.34306569343066,0.0036167883211678836
atg,2021,71340.0731707317,41235.97530864197,34973,555673.6153846154,900.7777777777778,389.062893081761,76.07841463414634,43.97493827160494,37.29557142857143,16.012478386167146,4148.96855345912,204.33333333333334,0.21788679245283019
atg,2022,125607.84615384616,63580.307692307695,61028.666666666664,9838,305,57.567567567567565,133.95076923076923,67.80230769230769,65.08166666666666,10.49,613.8571428571429,7.644787644787645,0.008054054054054054
aus,2021,16488882.459807074,9620030.747572815,6872141.751633987,494618.0120481928,137335.46601941748,135372.9712460064,62.98903536977492,36.74957928802589,26.2521568627451,1.889277108433735,5171.361022364217,65296.05111821086,0.24945047923322683
aus,2022,56612144.711864404,21728706.708333332,20925232.684848484,13682807,89793.2869955157,58183.364383561646,216.26305084745763,83.00583333333333,79.93642424242424,52.26936,2222.6684931506848,18534.628865979383,0.07077319587628866
aus,2023,66407334.083333336,1755701.5,1541441.8421052631,19758717.2,10435,16557.449315068494,253.6825,45.03286885245902,39.972812499999996,75.48,632.413698630137,1084.4875428082191,0.027193150684931507
aut,2021,7405992.461538462,3931167.2115384615,3183289.519230769,471935.36734693876,10435,46447.924369747896,82.84519230769232,43.975,35.60865384615384,5.278367346938776,5195.717086834734,18771.826330532214,0.21000280112044817
aut,2022,18868651.25,6873495.692307692,6639489.807692308,5188464.5,10435,10333.197260273973,211.06826923076923,76.8876923076923,74.27076923076923,58.03903846153846,1155.876712328767,550.6958904109589,0.0061397260273972605
aut,2023,20444097.96153846,6899387,6682616.038461538,5404349.5,10435,663.2486187845304,228.69192307692308,77.17692307692309,74.75307692307692,60.45346153846154,74.18232044198895,11.966850828729282,1.6574585635359117e-5
aze,2021,5632238.530075188,2967014.830039526,2478002.4645669293,986971.7884615385,36967.29752066116,32396.00287356322,54.37518796992481,28.644782608695653,23.92299212598425,9.527692307692307,3127.652298850575,14860.497126436781,0.14344252873563218
aze,2022,13106723.032467533,5306071.974025974,4805822.7727272725,2827167.836601307,13638.323076923078,10787.658333333333,126.53616883116884,51.22655844155844,46.39688311688312,27.294444444444444,1041.4458333333334,878.4083333333333,0.0084375
bdi,2021,2093.5238095238096,1446.4285714285713,985.8666666666667,555673.6153846154,76.66666666666667,108.08219178082192,0.015714285714285715,0.01,0.008,16.012478386167146,8.36986301369863,64.71232876712328,3.4246575342465754e-4
bdi,2022,20160.535714285714,18460.206896551725,17887.172413793105,53.19047619047619,10435,65.77808219178083,0.15678571428571428,0.14310344827586208,0.13896551724137932,0,5.090410958904109,69.06027397260274,4.0821917808219176e-4
bdi,2023,37418.72222222222,34676.333333333336,34087.555555555555,303.1666666666667,10435,28.723287671232878,0.29,0.27055555555555555,0.2638888888888889,0,2.1890410958904107,19.443835616438356,8.493150684931507e-5
bel,2020,625.75,625,1,555673.6153846154,197,165.33333333333334,0.005,0.005,0,16.012478386167146,14,165,0.0013333333333333333
bel,2021,10137801.909589041,5444847.367123288,4631304.338028169,585383.2379032258,59532.67123287671,59100.40821917808,86.97550684931507,46.71309589041096,39.73349295774648,5.0226612903225805,5070.438356164384,24481.77808219178,0.21004931506849314
bel,2022,26145616.87087912,9227280.479452055,9114301.288461538,8344458.291208792,21373.82093663912,21708.745205479452,224.31195054945056,79.16361643835616,78.19491758241759,71.59010989010989,1862.4630136986302,885.5945205479452,0.007572602739726027
bel,2023,29989823.81845238,9261032.765873017,9165145.538690476,12088553.514880951,6348.210355987055,5382.5150684931505,257.29270833333334,79.45468253968254,78.63065476190476,103.71136904761904,461.8109589041096,7.597864768683274,0
bel,2024,31466434.35714286,1755701.5,9170888.19047619,13553681.976190476,191.47619047619048,210.54761904761904,269.9607142857143,45.03286885245902,78.68,116.28142857142858,18.047619047619047,1084.4875428082191,0.027193150684931507
ben,2021,424019.4090909091,406953.8095238095,397898.75,555673.6153846154,10435,7633.1416309012875,3.1745454545454543,3.046190476190476,2.98,16.012478386167146,571.6995708154507,7311.175965665236,0.054793991416309015
ben,2022,3321465.35,2971146.1052631577,2390627.0625,555673.6153846154,10435,6834.213068181818,24.874,22.251578947368422,17.90375,16.012478386167146,511.79545454545456,5536.289772727273,0.04153693181818182
bes,2021,21618,12417.5,9200.5,555673.6153846154,10435,196,79.91,45.905,34.01,16.012478386167146,7245,92,0.34
bfa,2021,271513.5294117647,233215.2,267241.3,555673.6153846154,10435,5284.4669811320755,1.1976470588235295,1.0273333333333334,1.178,16.012478386167146,233.0754716981132,4896.117924528302,0.02150943396226415
bfa,2022,2829239.947368421,2384007.5555555555,1541441.8421052631,555673.6153846154,10435,11706.090410958905,12.477894736842105,10.514444444444445,6.7973684210526315,16.012478386167146,516.3424657534247,9293.284931506849,0.04098082191780822
bfa,2023,6807874,5257415.333333333,4287962.333333333,4056,10435,12128.39705882353,30.023333333333333,23.186666666666667,18.913333333333334,0.02,534.7990196078431,8036.098039215686,0.03567156862745098
bgd,2021,28256511.2184466,18131417.427184466,12415293.577380951,555673.6153846154,531187.4809160306,360893.8967551622,16.506650485436893,10.591601941747573,7.252976190476191,16.012478386167146,2108.1858407079644,215966.93805309734,0.1261858407079646
bgd,2022,260773555.43089432,127982896.20930232,107546104.68292683,27229903.583333332,1178318.3529411764,582198.4575342466,152.33357723577237,74.76240310077519,62.82373983739837,15.90725,3400.931506849315,208028.36712328767,0.12151780821917808
bgd,2023,358784893.283871,151331343.92307693,140015612.3081761,67762240.05063291,120825.84848484848,73511.44931506849,209.58729032258066,88.40096153846154,81.79037735849056,39.58386075949367,429.38904109589043,6475.986301369863,0.003778082191780822
bgd,2024,361697536.25352114,151505521.3114754,142196453.23809522,68577304.84507042,955.6,370.8306010928962,211.29140845070424,88.5,83.06444444444445,40.059999999999995,2.1311475409836067,14.96195652173913,0
bgr,2020,3163.5,3163.5,1541441.8421052631,555673.6153846154,2889,2183,0.05,0.05,39.972812499999996,16.012478386167146,322,2183,0.0325
bgr,2021,1644572.8492753622,541484.5209302326,821296.4242424242,214509.25,10430.309734513274,10059.109589041096,24.249246376811595,7.984232558139535,12.110090909090909,3.163,1483.2191780821918,5351.46301369863,0.07891780821917808
